date      ,team,rank             ,players
2022-01-03,1   ,Natus Vincere    ,"['s1mple', 'electroNic', 'Boombl4', 'Perfecto', 'b1t']"
2022-01-03,2   ,Gambit           ,"['HObbit', 'interz', 'Ax1Le', 'sh1ro', 'nafany']"
2022-01-03,3   ,Vitality         ,"['apEX', 'ZywOo', 'misutaaa', 'Kyojin']"
2022-01-03,4   ,G2               ,"['JACKZ', 'NiKo', 'huNter-', 'AMANEK', 'nexa']"
2022-01-03,5   ,Heroic           ,"['cadiaN', 'refrezh', 'stavn', 'TeSeS', 'sjuush']"
2022-01-03,6   ,Ninjas in Pyjamas,"['device', 'es3tag', 'REZ', 'hampus', 'Plopski']"
2022-01-03,7   ,Virtus.pro       ,"['buster', 'FL1T', 'Qikert', 'Jame', 'YEKINDAR']"
2022-01-03,8   ,Astralis         ,"['Xyp9x', 'gla1ve', 'k0nfig', 'Lucky', 'blameF']"
2022-01-03,9   ,Entropiq         ,"['NickelBack', 'Krad', 'Lack1', 'El1an', 'Forester']"
2022-01-03,10  ,FURIA            ,"['arT', 'yuurih', 'VINI', 'KSCERATO', 'drop']"
2022-01-03,11  ,FaZe             ,"['karrigan', 'rain', 'Twistzz', 'ropz', 'broky']"
2022-01-03,12  ,fnatic           ,"['KRIMZ', 'ALEX', 'smooya', 'Brollan', 'mezii']"
2022-01-03,13  ,Copenhagen Flames,"['HooXi', 'nicoodoz', 'roeJ', 'jabbi', 'Zyphon']"
2022-01-03,14  ,ENCE             ,"['Snappi', 'doto', 'dycha', 'hades', 'Spinx']"
2022-01-03,15  ,GODSENT          ,"['TACO', 'felps', 'dumau', 'b4rtiN', 'latto']"
2022-01-03,16  ,BIG              ,"['tabseN', 'tiziaN', 'syrsoN', 'k1to', 'faveN']"
2022-01-03,17  ,OG               ,"['valde', 'Aleksib', 'niko', 'mantuu', 'flameZ']"
2022-01-03,18  ,MOUZ             ,"['dexter', 'frozen', 'torzsi', 'Bymas']"
2022-01-03,19  ,Movistar Riders  ,"['alex', 'mopoz', 'DeathZz', 'SunPayus', 'dav1g']"
2022-01-03,20  ,ECSTATIC         ,"['FASHR', 'Daffu', 'WolfY', 'birdfromsky', 'maNkz']"
2022-01-03,21  ,forZe            ,"['Jerry', 'zorte', 'shalfey', 'KENSI', 'Norwi']"
2022-01-03,22  ,Extra Salt       ,"['MarKE', 'JT', 'floppy', 'FaNg']"
2022-01-03,23  ,K23              ,"['neaLaN', 'xsepower', 'n0rb3r7', 'X5G7V', 'fame']"
2022-01-03,24  ,BLINK            ,"['rigoN', 'SENER1', 'juanflatroo', 'sinnopsyy', 'gxx-']"
2022-01-03,25  ,Eternal Fire     ,"['XANTARES', 'woxic', 'Calyx', 'imoRR', 'xfl0ud']"
2022-01-03,26  ,Sprout           ,"['raalz', 'Spiidi', 'slaxz-']"
2022-01-03,27  ,DBL PONEY        ,"['bodyy', 'Lucky', 'Djoko', 'Ex3rcice', 'afro']"
2022-01-03,28  ,SKADE            ,"['bubble', 'dream3r', 'SHiPZ', 'dennyslaw', 'Rainwaker']"
2022-01-03,29  ,paiN             ,"['PKL', 'NEKIZ', 'hardzao', 'biguzera', 'saffee']"
2022-01-03,30  ,GamerLegion      ,"['Zero', 'RuStY', 'iM', 'eraa', 'isak']"
2022-01-10,1   ,Natus Vincere    ,"['s1mple', 'electroNic', 'Boombl4', 'Perfecto', 'b1t']"
2022-01-10,2   ,Gambit           ,"['HObbit', 'interz', 'Ax1Le', 'sh1ro', 'nafany']"
2022-01-10,3   ,Vitality         ,"['apEX', 'ZywOo', 'misutaaa', 'Kyojin']"
2022-01-10,4   ,G2               ,"['JACKZ', 'NiKo', 'huNter-', 'AMANEK', 'nexa']"
2022-01-10,5   ,Heroic           ,"['cadiaN', 'refrezh', 'stavn', 'TeSeS', 'sjuush']"
2022-01-10,6   ,Ninjas in Pyjamas,"['device', 'es3tag', 'REZ', 'hampus', 'Plopski']"
2022-01-10,7   ,Virtus.pro       ,"['buster', 'FL1T', 'Qikert', 'Jame', 'YEKINDAR']"
2022-01-10,8   ,Astralis         ,"['Xyp9x', 'gla1ve', 'k0nfig', 'Lucky', 'blameF']"
2022-01-10,9   ,Entropiq         ,"['NickelBack', 'Krad', 'Lack1', 'El1an', 'Forester']"
2022-01-10,10  ,FURIA            ,"['arT', 'yuurih', 'VINI', 'KSCERATO', 'drop']"
2022-01-10,11  ,FaZe             ,"['karrigan', 'rain', 'Twistzz', 'ropz', 'broky']"
2022-01-10,12  ,fnatic           ,"['KRIMZ', 'ALEX', 'smooya', 'Brollan', 'mezii']"
2022-01-10,13  ,Copenhagen Flames,"['HooXi', 'nicoodoz', 'roeJ', 'jabbi', 'Zyphon']"
2022-01-10,14  ,ENCE             ,"['Snappi', 'doto', 'dycha', 'hades', 'Spinx']"
2022-01-10,15  ,GODSENT          ,"['TACO', 'felps', 'dumau', 'b4rtiN', 'latto']"
2022-01-10,16  ,BIG              ,"['tabseN', 'tiziaN', 'syrsoN', 'k1to', 'faveN']"
2022-01-10,17  ,OG               ,"['valde', 'Aleksib', 'niko', 'mantuu', 'flameZ']"
2022-01-10,18  ,MOUZ             ,"['dexter', 'frozen', 'torzsi', 'Bymas']"
2022-01-10,19  ,Movistar Riders  ,"['alex', 'mopoz', 'DeathZz', 'SunPayus', 'dav1g']"
2022-01-10,20  ,ECSTATIC         ,"['FASHR', 'Daffu', 'WolfY', 'birdfromsky', 'maNkz']"
2022-01-10,21  ,forZe            ,"['Jerry', 'zorte', 'shalfey', 'KENSI', 'Norwi']"
2022-01-10,22  ,Extra Salt       ,"['MarKE', 'JT', 'floppy', 'FaNg']"
2022-01-10,23  ,K23              ,"['neaLaN', 'xsepower', 'n0rb3r7', 'X5G7V', 'fame']"
2022-01-10,24  ,BLINK            ,"['rigoN', 'SENER1', 'juanflatroo', 'sinnopsyy', 'gxx-']"
2022-01-10,25  ,Eternal Fire     ,"['XANTARES', 'woxic', 'Calyx', 'imoRR', 'xfl0ud']"
2022-01-10,26  ,Sprout           ,"['raalz', 'Spiidi', 'slaxz-']"
2022-01-10,27  ,DBL PONEY        ,"['bodyy', 'Lucky', 'Djoko', 'Ex3rcice', 'afro']"
2022-01-10,28  ,SKADE            ,"['bubble', 'dream3r', 'SHiPZ', 'dennyslaw', 'Rainwaker']"
2022-01-10,29  ,paiN             ,"['PKL', 'NEKIZ', 'hardzao', 'biguzera', 'saffee']"
2022-01-10,30  ,GamerLegion      ,"['Zero', 'RuStY', 'iM', 'eraa', 'isak']"
2022-01-17,1   ,Natus Vincere    ,"['s1mple', 'electroNic', 'Boombl4', 'Perfecto', 'b1t']"
2022-01-17,2   ,Gambit           ,"['HObbit', 'interz', 'Ax1Le', 'sh1ro', 'nafany']"
2022-01-17,3   ,Vitality         ,"['apEX', 'ZywOo', 'misutaaa', 'Kyojin']"
2022-01-17,4   ,G2               ,"['JACKZ', 'NiKo', 'huNter-', 'AMANEK', 'nexa']"
2022-01-17,5   ,Heroic           ,"['cadiaN', 'refrezh', 'stavn', 'TeSeS', 'sjuush']"
2022-01-17,6   ,Ninjas in Pyjamas,"['device', 'es3tag', 'REZ', 'hampus', 'Plopski']"
2022-01-17,7   ,Virtus.pro       ,"['buster', 'FL1T', 'Qikert', 'Jame', 'YEKINDAR']"
2022-01-17,8   ,Astralis         ,"['Xyp9x', 'gla1ve', 'k0nfig', 'Lucky', 'blameF']"
2022-01-17,9   ,Entropiq         ,"['NickelBack', 'Krad', 'Lack1', 'El1an', 'Forester']"
2022-01-17,10  ,FURIA            ,"['arT', 'yuurih', 'VINI', 'KSCERATO', 'drop']"
2022-01-17,11  ,FaZe             ,"['karrigan', 'rain', 'Twistzz', 'ropz', 'broky']"
2022-01-17,12  ,fnatic           ,"['KRIMZ', 'ALEX', 'smooya', 'Brollan', 'mezii']"
2022-01-17,13  ,Copenhagen Flames,"['HooXi', 'nicoodoz', 'roeJ', 'jabbi', 'Zyphon']"
2022-01-17,14  ,ENCE             ,"['Snappi', 'doto', 'dycha', 'hades', 'Spinx']"
2022-01-17,15  ,GODSENT          ,"['TACO', 'felps', 'dumau', 'b4rtiN', 'latto']"
2022-01-17,16  ,BIG              ,"['tabseN', 'tiziaN', 'syrsoN', 'k1to', 'faveN']"
2022-01-17,17  ,OG               ,"['valde', 'Aleksib', 'niko', 'mantuu', 'flameZ']"
2022-01-17,18  ,MOUZ             ,"['dexter', 'frozen', 'torzsi', 'Bymas']"
2022-01-17,19  ,Movistar Riders  ,"['alex', 'mopoz', 'DeathZz', 'SunPayus', 'dav1g']"
2022-01-17,20  ,ECSTATIC         ,"['FASHR', 'Daffu', 'WolfY', 'birdfromsky', 'maNkz']"
2022-01-17,21  ,forZe            ,"['Jerry', 'zorte', 'shalfey', 'KENSI', 'Norwi']"
2022-01-17,22  ,Extra Salt       ,"['MarKE', 'JT', 'floppy', 'FaNg']"
2022-01-17,23  ,K23              ,"['neaLaN', 'xsepower', 'n0rb3r7', 'X5G7V', 'fame']"
2022-01-17,24  ,BLINK            ,"['rigoN', 'SENER1', 'juanflatroo', 'sinnopsyy', 'gxx-']"
2022-01-17,25  ,Eternal Fire     ,"['XANTARES', 'woxic', 'Calyx', 'imoRR', 'xfl0ud']"
2022-01-17,26  ,Sprout           ,"['raalz', 'Spiidi', 'slaxz-']"
2022-01-17,27  ,DBL PONEY        ,"['bodyy', 'Lucky', 'Djoko', 'Ex3rcice', 'afro']"
2022-01-17,28  ,SKADE            ,"['bubble', 'dream3r', 'SHiPZ', 'dennyslaw', 'Rainwaker']"
2022-01-17,29  ,paiN             ,"['PKL', 'NEKIZ', 'hardzao', 'biguzera', 'saffee']"
2022-01-17,30  ,GamerLegion      ,"['Zero', 'RuStY', 'iM', 'eraa', 'isak']"
2022-01-24,1   ,Natus Vincere    ,"['s1mple', 'electroNic', 'Boombl4', 'Perfecto', 'b1t']"
2022-01-24,2   ,Gambit           ,"['HObbit', 'interz', 'Ax1Le', 'sh1ro', 'nafany']"
2022-01-24,3   ,Vitality         ,"['apEX', 'ZywOo', 'misutaaa', 'Kyojin']"
2022-01-24,4   ,G2               ,"['JACKZ', 'NiKo', 'huNter-', 'AMANEK', 'nexa']"
2022-01-24,5   ,Heroic           ,"['cadiaN', 'refrezh', 'stavn', 'TeSeS', 'sjuush']"
2022-01-24,6   ,Ninjas in Pyjamas,"['device', 'es3tag', 'REZ', 'hampus', 'Plopski']"
2022-01-24,7   ,Virtus.pro       ,"['buster', 'FL1T', 'Qikert', 'Jame', 'YEKINDAR']"
2022-01-24,8   ,Astralis         ,"['Xyp9x', 'gla1ve', 'k0nfig', 'Lucky', 'blameF']"
2022-01-24,9   ,Entropiq         ,"['NickelBack', 'Krad', 'Lack1', 'El1an', 'Forester']"
2022-01-24,10  ,FURIA            ,"['arT', 'yuurih', 'VINI', 'KSCERATO', 'drop']"
2022-01-24,11  ,FaZe             ,"['karrigan', 'rain', 'Twistzz', 'ropz', 'broky']"
2022-01-24,12  ,fnatic           ,"['KRIMZ', 'ALEX', 'smooya', 'Brollan', 'mezii']"
2022-01-24,13  ,Copenhagen Flames,"['HooXi', 'nicoodoz', 'roeJ', 'jabbi', 'Zyphon']"
2022-01-24,14  ,ENCE             ,"['Snappi', 'doto', 'dycha', 'hades', 'Spinx']"
2022-01-24,15  ,GODSENT          ,"['TACO', 'felps', 'dumau', 'b4rtiN', 'latto']"
2022-01-24,16  ,BIG              ,"['tabseN', 'tiziaN', 'syrsoN', 'k1to', 'faveN']"
2022-01-24,17  ,OG               ,"['valde', 'Aleksib', 'niko', 'mantuu', 'flameZ']"
2022-01-24,18  ,MOUZ             ,"['dexter', 'frozen', 'torzsi', 'Bymas']"
2022-01-24,19  ,Movistar Riders  ,"['alex', 'mopoz', 'DeathZz', 'SunPayus', 'dav1g']"
2022-01-24,20  ,ECSTATIC         ,"['FASHR', 'Daffu', 'WolfY', 'birdfromsky', 'maNkz']"
2022-01-24,21  ,forZe            ,"['Jerry', 'zorte', 'shalfey', 'KENSI', 'Norwi']"
2022-01-24,22  ,Extra Salt       ,"['MarKE', 'JT', 'floppy', 'FaNg']"
2022-01-24,23  ,K23              ,"['neaLaN', 'xsepower', 'n0rb3r7', 'X5G7V', 'fame']"
2022-01-24,24  ,BLINK            ,"['rigoN', 'SENER1', 'juanflatroo', 'sinnopsyy', 'gxx-']"
2022-01-24,25  ,Eternal Fire     ,"['XANTARES', 'woxic', 'Calyx', 'imoRR', 'xfl0ud']"
2022-01-24,26  ,Sprout           ,"['raalz', 'Spiidi', 'slaxz-']"
2022-01-24,27  ,DBL PONEY        ,"['bodyy', 'Lucky', 'Djoko', 'Ex3rcice', 'afro']"
2022-01-24,28  ,SKADE            ,"['bubble', 'dream3r', 'SHiPZ', 'dennyslaw', 'Rainwaker']"
2022-01-24,29  ,paiN             ,"['PKL', 'NEKIZ', 'hardzao', 'biguzera', 'saffee']"
2022-01-24,30  ,GamerLegion      ,"['Zero', 'RuStY', 'iM', 'eraa', 'isak']"
2022-01-31,1   ,Natus Vincere    ,"['s1mple', 'electroNic', 'Boombl4', 'Perfecto', 'b1t']"
2022-01-31,2   ,Gambit           ,"['HObbit', 'interz', 'Ax1Le', 'sh1ro', 'nafany']"
2022-01-31,3   ,Vitality         ,"['apEX', 'ZywOo', 'misutaaa', 'Kyojin']"
2022-01-31,4   ,G2               ,"['JACKZ', 'NiKo', 'huNter-', 'AMANEK', 'nexa']"
2022-01-31,5   ,Heroic           ,"['cadiaN', 'refrezh', 'stavn', 'TeSeS', 'sjuush']"
2022-01-31,6   ,Ninjas in Pyjamas,"['device', 'es3tag', 'REZ', 'hampus', 'Plopski']"
2022-01-31,7   ,Virtus.pro       ,"['buster', 'FL1T', 'Qikert', 'Jame', 'YEKINDAR']"
2022-01-31,8   ,Astralis         ,"['Xyp9x', 'gla1ve', 'k0nfig', 'Lucky', 'blameF']"
2022-01-31,9   ,Entropiq         ,"['NickelBack', 'Krad', 'Lack1', 'El1an', 'Forester']"
2022-01-31,10  ,FURIA            ,"['arT', 'yuurih', 'VINI', 'KSCERATO', 'drop']"
2022-01-31,11  ,FaZe             ,"['karrigan', 'rain', 'Twistzz', 'ropz', 'broky']"
2022-01-31,12  ,fnatic           ,"['KRIMZ', 'ALEX', 'smooya', 'Brollan', 'mezii']"
2022-01-31,13  ,Copenhagen Flames,"['HooXi', 'nicoodoz', 'roeJ', 'jabbi', 'Zyphon']"
2022-01-31,14  ,ENCE             ,"['Snappi', 'doto', 'dycha', 'hades', 'Spinx']"
2022-01-31,15  ,GODSENT          ,"['TACO', 'felps', 'dumau', 'b4rtiN', 'latto']"
2022-01-31,16  ,BIG              ,"['tabseN', 'tiziaN', 'syrsoN', 'k1to', 'faveN']"
2022-01-31,17  ,OG               ,"['valde', 'Aleksib', 'niko', 'mantuu', 'flameZ']"
2022-01-31,18  ,MOUZ             ,"['dexter', 'frozen', 'torzsi', 'Bymas']"
2022-01-31,19  ,Movistar Riders  ,"['alex', 'mopoz', 'DeathZz', 'SunPayus', 'dav1g']"
2022-01-31,20  ,ECSTATIC         ,"['FASHR', 'Daffu', 'WolfY', 'birdfromsky', 'maNkz']"
2022-01-31,21  ,forZe            ,"['Jerry', 'zorte', 'shalfey', 'KENSI', 'Norwi']"
2022-01-31,22  ,Extra Salt       ,"['MarKE', 'JT', 'floppy', 'FaNg']"
2022-01-31,23  ,K23              ,"['neaLaN', 'xsepower', 'n0rb3r7', 'X5G7V', 'fame']"
2022-01-31,24  ,BLINK            ,"['rigoN', 'SENER1', 'juanflatroo', 'sinnopsyy', 'gxx-']"
2022-01-31,25  ,Eternal Fire     ,"['XANTARES', 'woxic', 'Calyx', 'imoRR', 'xfl0ud']"
2022-01-31,26  ,Sprout           ,"['raalz', 'Spiidi', 'slaxz-']"
2022-01-31,27  ,DBL PONEY        ,"['bodyy', 'Lucky', 'Djoko', 'Ex3rcice', 'afro']"
2022-01-31,28  ,SKADE            ,"['bubble', 'dream3r', 'SHiPZ', 'dennyslaw', 'Rainwaker']"
2022-01-31,29  ,paiN             ,"['PKL', 'NEKIZ', 'hardzao', 'biguzera', 'saffee']"
2022-01-31,30  ,GamerLegion      ,"['Zero', 'RuStY', 'iM', 'eraa', 'isak']"
2022-02-07,1   ,Natus Vincere    ,"['s1mple', 'electroNic', 'Boombl4', 'Perfecto', 'b1t']"
2022-02-07,2   ,Gambit           ,"['HObbit', 'interz', 'Ax1Le', 'sh1ro', 'nafany']"
2022-02-07,3   ,Vitality         ,"['apEX', 'ZywOo', 'misutaaa', 'Kyojin']"
2022-02-07,4   ,G2               ,"['JACKZ', 'NiKo', 'huNter-', 'AMANEK', 'nexa']"
2022-02-07,5   ,Heroic           ,"['cadiaN', 'refrezh', 'stavn', 'TeSeS', 'sjuush']"
2022-02-07,6   ,Ninjas in Pyjamas,"['device', 'es3tag', 'REZ', 'hampus', 'Plopski']"
2022-02-07,7   ,Virtus.pro       ,"['buster', 'FL1T', 'Qikert', 'Jame', 'YEKINDAR']"
2022-02-07,8   ,Astralis         ,"['Xyp9x', 'gla1ve', 'k0nfig', 'Lucky', 'blameF']"
2022-02-07,9   ,Entropiq         ,"['NickelBack', 'Krad', 'Lack1', 'El1an', 'Forester']"
2022-02-07,10  ,FURIA            ,"['arT', 'yuurih', 'VINI', 'KSCERATO', 'drop']"
2022-02-07,11  ,FaZe             ,"['karrigan', 'rain', 'Twistzz', 'ropz', 'broky']"
2022-02-07,12  ,fnatic           ,"['KRIMZ', 'ALEX', 'smooya', 'Brollan', 'mezii']"
2022-02-07,13  ,Copenhagen Flames,"['HooXi', 'nicoodoz', 'roeJ', 'jabbi', 'Zyphon']"
2022-02-07,14  ,ENCE             ,"['Snappi', 'doto', 'dycha', 'hades', 'Spinx']"
2022-02-07,15  ,GODSENT          ,"['TACO', 'felps', 'dumau', 'b4rtiN', 'latto']"
2022-02-07,16  ,BIG              ,"['tabseN', 'tiziaN', 'syrsoN', 'k1to', 'faveN']"
2022-02-07,17  ,OG               ,"['valde', 'Aleksib', 'niko', 'mantuu', 'flameZ']"
2022-02-07,18  ,MOUZ             ,"['dexter', 'frozen', 'torzsi', 'Bymas']"
2022-02-07,19  ,Movistar Riders  ,"['alex', 'mopoz', 'DeathZz', 'SunPayus', 'dav1g']"
2022-02-07,20  ,ECSTATIC         ,"['FASHR', 'Daffu', 'WolfY', 'birdfromsky', 'maNkz']"
2022-02-07,21  ,forZe            ,"['Jerry', 'zorte', 'shalfey', 'KENSI', 'Norwi']"
2022-02-07,22  ,Extra Salt       ,"['MarKE', 'JT', 'floppy', 'FaNg']"
2022-02-07,23  ,K23              ,"['neaLaN', 'xsepower', 'n0rb3r7', 'X5G7V', 'fame']"
2022-02-07,24  ,BLINK            ,"['rigoN', 'SENER1', 'juanflatroo', 'sinnopsyy', 'gxx-']"
2022-02-07,25  ,Eternal Fire     ,"['XANTARES', 'woxic', 'Calyx', 'imoRR', 'xfl0ud']"
2022-02-07,26  ,Sprout           ,"['raalz', 'Spiidi', 'slaxz-']"
2022-02-07,27  ,DBL PONEY        ,"['bodyy', 'Lucky', 'Djoko', 'Ex3rcice', 'afro']"
2022-02-07,28  ,SKADE            ,"['bubble', 'dream3r', 'SHiPZ', 'dennyslaw', 'Rainwaker']"
2022-02-07,29  ,paiN             ,"['PKL', 'NEKIZ', 'hardzao', 'biguzera', 'saffee']"
2022-02-07,30  ,GamerLegion      ,"['Zero', 'RuStY', 'iM', 'eraa', 'isak']"
2022-02-14,1   ,Natus Vincere    ,"['s1mple', 'electroNic', 'Boombl4', 'Perfecto', 'b1t']"
2022-02-14,2   ,Gambit           ,"['HObbit', 'interz', 'Ax1Le', 'sh1ro', 'nafany']"
2022-02-14,3   ,Vitality         ,"['apEX', 'ZywOo', 'misutaaa', 'Kyojin']"
2022-02-14,4   ,G2               ,"['JACKZ', 'NiKo', 'huNter-', 'AMANEK', 'nexa']"
2022-02-14,5   ,Heroic           ,"['cadiaN', 'refrezh', 'stavn', 'TeSeS', 'sjuush']"
2022-02-14,6   ,Ninjas in Pyjamas,"['device', 'es3tag', 'REZ', 'hampus', 'Plopski']"
2022-02-14,7   ,Virtus.pro       ,"['buster', 'FL1T', 'Qikert', 'Jame', 'YEKINDAR']"
2022-02-14,8   ,Astralis         ,"['Xyp9x', 'gla1ve', 'k0nfig', 'Lucky', 'blameF']"
2022-02-14,9   ,Entropiq         ,"['NickelBack', 'Krad', 'Lack1', 'El1an', 'Forester']"
2022-02-14,10  ,FURIA            ,"['arT', 'yuurih', 'VINI', 'KSCERATO', 'drop']"
2022-02-14,11  ,FaZe             ,"['karrigan', 'rain', 'Twistzz', 'ropz', 'broky']"
2022-02-14,12  ,fnatic           ,"['KRIMZ', 'ALEX', 'smooya', 'Brollan', 'mezii']"
2022-02-14,13  ,Copenhagen Flames,"['HooXi', 'nicoodoz', 'roeJ', 'jabbi', 'Zyphon']"
2022-02-14,14  ,ENCE             ,"['Snappi', 'doto', 'dycha', 'hades', 'Spinx']"
2022-02-14,15  ,GODSENT          ,"['TACO', 'felps', 'dumau', 'b4rtiN', 'latto']"
2022-02-14,16  ,BIG              ,"['tabseN', 'tiziaN', 'syrsoN', 'k1to', 'faveN']"
2022-02-14,17  ,OG               ,"['valde', 'Aleksib', 'niko', 'mantuu', 'flameZ']"
2022-02-14,18  ,MOUZ             ,"['dexter', 'frozen', 'torzsi', 'Bymas']"
2022-02-14,19  ,Movistar Riders  ,"['alex', 'mopoz', 'DeathZz', 'SunPayus', 'dav1g']"
2022-02-14,20  ,ECSTATIC         ,"['FASHR', 'Daffu', 'WolfY', 'birdfromsky', 'maNkz']"
2022-02-14,21  ,forZe            ,"['Jerry', 'zorte', 'shalfey', 'KENSI', 'Norwi']"
2022-02-14,22  ,Extra Salt       ,"['MarKE', 'JT', 'floppy', 'FaNg']"
2022-02-14,23  ,K23              ,"['neaLaN', 'xsepower', 'n0rb3r7', 'X5G7V', 'fame']"
2022-02-14,24  ,BLINK            ,"['rigoN', 'SENER1', 'juanflatroo', 'sinnopsyy', 'gxx-']"
2022-02-14,25  ,Eternal Fire     ,"['XANTARES', 'woxic', 'Calyx', 'imoRR', 'xfl0ud']"
2022-02-14,26  ,Sprout           ,"['raalz', 'Spiidi', 'slaxz-']"
2022-02-14,27  ,DBL PONEY        ,"['bodyy', 'Lucky', 'Djoko', 'Ex3rcice', 'afro']"
2022-02-14,28  ,SKADE            ,"['bubble', 'dream3r', 'SHiPZ', 'dennyslaw', 'Rainwaker']"
2022-02-14,29  ,paiN             ,"['PKL', 'NEKIZ', 'hardzao', 'biguzera', 'saffee']"
2022-02-14,30  ,GamerLegion      ,"['Zero', 'RuStY', 'iM', 'eraa', 'isak']"
2022-02-21,1   ,Natus Vincere    ,"['s1mple', 'electroNic', 'Boombl4', 'Perfecto', 'b1t']"
2022-02-21,2   ,Gambit           ,"['HObbit', 'interz', 'Ax1Le', 'sh1ro', 'nafany']"
2022-02-21,3   ,Vitality         ,"['apEX', 'ZywOo', 'misutaaa', 'Kyojin']"
2022-02-21,4   ,G2               ,"['JACKZ', 'NiKo', 'huNter-', 'AMANEK', 'nexa']"
2022-02-21,5   ,Heroic           ,"['cadiaN', 'refrezh', 'stavn', 'TeSeS', 'sjuush']"
2022-02-21,6   ,Ninjas in Pyjamas,"['device', 'es3tag', 'REZ', 'hampus', 'Plopski']"
2022-02-21,7   ,Virtus.pro       ,"['buster', 'FL1T', 'Qikert', 'Jame', 'YEKINDAR']"
2022-02-21,8   ,Astralis         ,"['Xyp9x', 'gla1ve', 'k0nfig', 'Lucky', 'blameF']"
2022-02-21,9   ,Entropiq         ,"['NickelBack', 'Krad', 'Lack1', 'El1an', 'Forester']"
2022-02-21,10  ,FURIA            ,"['arT', 'yuurih', 'VINI', 'KSCERATO', 'drop']"
2022-02-21,11  ,FaZe             ,"['karrigan', 'rain', 'Twistzz', 'ropz', 'broky']"
2022-02-21,12  ,fnatic           ,"['KRIMZ', 'ALEX', 'smooya', 'Brollan', 'mezii']"
2022-02-21,13  ,Copenhagen Flames,"['HooXi', 'nicoodoz', 'roeJ', 'jabbi', 'Zyphon']"
2022-02-21,14  ,ENCE             ,"['Snappi', 'doto', 'dycha', 'hades', 'Spinx']"
2022-02-21,15  ,GODSENT          ,"['TACO', 'felps', 'dumau', 'b4rtiN', 'latto']"
2022-02-21,16  ,BIG              ,"['tabseN', 'tiziaN', 'syrsoN', 'k1to', 'faveN']"
2022-02-21,17  ,OG               ,"['valde', 'Aleksib', 'niko', 'mantuu', 'flameZ']"
2022-02-21,18  ,MOUZ             ,"['dexter', 'frozen', 'torzsi', 'Bymas']"
2022-02-21,19  ,Movistar Riders  ,"['alex', 'mopoz', 'DeathZz', 'SunPayus', 'dav1g']"
2022-02-21,20  ,ECSTATIC         ,"['FASHR', 'Daffu', 'WolfY', 'birdfromsky', 'maNkz']"
2022-02-21,21  ,forZe            ,"['Jerry', 'zorte', 'shalfey', 'KENSI', 'Norwi']"
2022-02-21,22  ,Extra Salt       ,"['MarKE', 'JT', 'floppy', 'FaNg']"
2022-02-21,23  ,K23              ,"['neaLaN', 'xsepower', 'n0rb3r7', 'X5G7V', 'fame']"
2022-02-21,24  ,BLINK            ,"['rigoN', 'SENER1', 'juanflatroo', 'sinnopsyy', 'gxx-']"
2022-02-21,25  ,Eternal Fire     ,"['XANTARES', 'woxic', 'Calyx', 'imoRR', 'xfl0ud']"
2022-02-21,26  ,Sprout           ,"['raalz', 'Spiidi', 'slaxz-']"
2022-02-21,27  ,DBL PONEY        ,"['bodyy', 'Lucky', 'Djoko', 'Ex3rcice', 'afro']"
2022-02-21,28  ,SKADE            ,"['bubble', 'dream3r', 'SHiPZ', 'dennyslaw', 'Rainwaker']"
2022-02-21,29  ,paiN             ,"['PKL', 'NEKIZ', 'hardzao', 'biguzera', 'saffee']"
2022-02-21,30  ,GamerLegion      ,"['Zero', 'RuStY', 'iM', 'eraa', 'isak']"
2022-02-28,1   ,Natus Vincere    ,"['s1mple', 'electroNic', 'Boombl4', 'Perfecto', 'b1t']"
2022-02-28,2   ,Gambit           ,"['HObbit', 'interz', 'Ax1Le', 'sh1ro', 'nafany']"
2022-02-28,3   ,Vitality         ,"['apEX', 'ZywOo', 'misutaaa', 'Kyojin']"
2022-02-28,4   ,G2               ,"['JACKZ', 'NiKo', 'huNter-', 'AMANEK', 'nexa']"
2022-02-28,5   ,Heroic           ,"['cadiaN', 'refrezh', 'stavn', 'TeSeS', 'sjuush']"
2022-02-28,6   ,Ninjas in Pyjamas,"['device', 'es3tag', 'REZ', 'hampus', 'Plopski']"
2022-02-28,7   ,Virtus.pro       ,"['buster', 'FL1T', 'Qikert', 'Jame', 'YEKINDAR']"
2022-02-28,8   ,Astralis         ,"['Xyp9x', 'gla1ve', 'k0nfig', 'Lucky', 'blameF']"
2022-02-28,9   ,Entropiq         ,"['NickelBack', 'Krad', 'Lack1', 'El1an', 'Forester']"
2022-02-28,10  ,FURIA            ,"['arT', 'yuurih', 'VINI', 'KSCERATO', 'drop']"
2022-02-28,11  ,FaZe             ,"['karrigan', 'rain', 'Twistzz', 'ropz', 'broky']"
2022-02-28,12  ,fnatic           ,"['KRIMZ', 'ALEX', 'smooya', 'Brollan', 'mezii']"
2022-02-28,13  ,Copenhagen Flames,"['HooXi', 'nicoodoz', 'roeJ', 'jabbi', 'Zyphon']"
2022-02-28,14  ,ENCE             ,"['Snappi', 'doto', 'dycha', 'hades', 'Spinx']"
2022-02-28,15  ,GODSENT          ,"['TACO', 'felps', 'dumau', 'b4rtiN', 'latto']"
2022-02-28,16  ,BIG              ,"['tabseN', 'tiziaN', 'syrsoN', 'k1to', 'faveN']"
2022-02-28,17  ,OG               ,"['valde', 'Aleksib', 'niko', 'mantuu', 'flameZ']"
